env.site,lat,long,depth,site,ID,month,year,volume,system,site_num,station,type,fraction,Abra.aequalis,Abra.lioica,Acteocina.spp.,Acteon.candens,Americoliva.sayana,Ameritella.texana,Ameritella.versicolor,Amygdalum.papyrium,Anadara.transversa,Anodontia.alba,Anomalocardia.cuneimeris,Anomalocardia.puella,Anomia.peruviana,Anomia.simplex,Arcinella.cornata,Arcopsis.adamsi,Arene.tricarinata,Argopecten.irradians.concentricus,Ascobulla.ulla,Astyris.lunata,Austromacoma.constricta,Bittiolum.varium,Boonea.impressa,Boonea.seminuda,Bostrycapulus.aculeatus,Brachidontes.exustus,Bulla.occidentalis,Caecum.floridanum,Caecum.imbricatum,Caecum.multicostatum,Caecum.regulare,Calliostoma.fascinans,Callucina.keenae,Calyptraea.centralis,Cardiomya.costella,Cardiomya.costellata,Cardites.floridanus,Carditopsis.smithii,Caryocorbula.spp.,Cavilinga.blanda,Cerithideopsis.costata,Cerithiopsis.spp.,Cerithium.muscarum,Cerodrillia.spp.,Chaetopleura.apiculata,Chama.congregata,Chicoreus.florifer,Chione.elevata,Chioneryx.grus,Choristodon.robustus,Cinctura.hunteria,Cochliolepis.parasitica,Cochliolepsis.parasitica,Codakia.orbicularis,Columbella.mercatoria,Columbella.rusticoides,Conasprella.sp.,Conus.spp.,Cooperella.atlantica,Coralliophila.sp.,Costoanachis.semiplicata,Crassinella.lunulata,Crassinella.martinicensis,Crassostrea.virginica,Crenella.decussata,Crepidula.sp.,Cumingia.coarctata,Cumingia.lamellosa,Cumingia.vanhyningi,Cyclinella.tenuis,Cyclostremiscus.spp.,Cyclostremiscus.suppressus,Cylichnella.bidentata,Cyrenoida.floridana,Dentalium.laqueatum,Dentimargo.aureocinctus,Dentimargo.sp.,Diodora.cayenensis,Diplodonta.notata,Diplodonta.nucleiformis,Diplodonta.semiaspera,Divaricella.dentata,Dosinia.concentrica,Ensis.minor,Ensitellops.protexta,Episiphon.sowerbyi,Epitonium.sp.,Ervilia.concentrica,Eulimastoma.harbisonae,Eulimastoma.sp.,Eulithidium.affine,Eulithidium.thalassicola,Eupleura.sulcidentata,Eurytellina.alternata,Fasciolaria.tulipa,Finella.dubia,Fulguropsis.plagosa,Gemophos.tinctus,Gibberula.spp.,Granotyrris.sp.,Granulina.hadria,Graptacme.semistriata,Haminoea.elegans,Haminoea.elevans,Houbricka.incisa,Ischadium.recurvum,Ischnochiton.papillosus,Ithycthara.sp.,Japonactaeon.punctostriatus,Kellia.suborbicularis,Kelliopsis.texasiana,Kurtziella.dorvilliae,Kurtziella.limonitella,Laevicardium.mortoni,Leporimetis.ephippium,Lepton.lepidum,Limaria.pellucida,Littoridinops.spp.,Longchaeus.sp.,Longchaeus.suturalis,Lucina.pensylvanica,Lucinisca.nassula,Lyonsia.floridana,Macoploma.tenta,Macrocallista.nimbosa,Mactrotoma.fragilis,Marshallora.modesta,Marshallora.sp.,Meioceras.nitidum,Melampus.bidentatus,Melanella.sp.,Melongena.corona,Mercenaria.campechiensis,Merisca.aequistriata,Modiolus.spp.,Modulus.modulus,Mulinia.lateralis,Musculus.lateralis,Mysella.planulata,Mytilopsis.leucophaeata,Nannodiella.vespuciana,Nassarius.acutus,Nassarius.spp.,Neritina.virginea,Neverita.delessertiana,Neverita.duplicata,Noetia.ponderosa,Nucula.proxima,Nuculana.acuta,Nuculana.concentrica,Odostomia.laevigata,Olivella.spp.,Orobitella.floridana,Oscilla.sp.,Papyridea.soleniformis,Parastarte.triquetra,Parvanachis.obesa,Parvanachis.ostreicola,Parvilucina.crenella,Phlyctiderma.semiaspera,Phosinella.cancellata.complex,Pilsbryspira.leucocyma,Pinctada.longisquamosa,Pitar.pilula,Pitarenus.cordatus,Prunum.apicinum,Prunum.spp.,Psammotreta.brevifrons,Pyrgocythara.spp.,Pyrgospira.spp.,Radiolucina.amianta,Retilaskeya.bicolor,Rissonia.costulifera,Rubellatoma.diomedea,Rubellatoma.rubella,Schwartziella.catesbyana,Seila.sp.,Semele.bellastriata,Semele.purpurescens,Semele.spp.,Semelina.nuculoides,Solenosteira.cancellaria,Sphenia.fragilis,Spisula.raveneli,Spondylus.tenuis,Strictispira.spp.,Strombus.alatus,Suturoglypta.sp.,Swartziella.catesbyana,Tagelus.divisus,Tampaella.tampaensis,Tectonatica.pusilla,Teinostoma.spp.,Tellidora.cristata,Tellinella.listeri,Terebra.protexta,Trachycardium.egmontianum,Trachycardium.muricatum,Transennella.spp.,Tucetona.pectinata,Turbo.castanea,Turbo.rastanea,Turbonilla.krebsii,Turbonilla.spp.,Turritella.exoleta,Urosalpinx.spp.,Vermicularia.sp.,Vermicularia.spirata,Volvarina.sp.,Zafrona.pulchella,Zafrona.sp.
CHA 5,28.675,-82.65833,1.712734082,CHA 5,CHA 5 NE dead 12 Sahale,5,2016,NA,CHA,5,NE,dead,12,0,0,715,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,14,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3264,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
CHA 5,28.675,-82.65833,1.712734082,CHA 5,CHA 5 NE dead 24 Sahale,5,2016,NA,CHA,5,NE,dead,24,0,0,1018,0,0,3,0,0,0,0,104,0,0,0,0,0,0,0,0,171,0,254,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,381,3,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,25,0,0,0,3035,0,1,0,12,0,0,0,0,0,46,0,1,0,0,0,0,0,6,0,0,0,37,0,0,20,0,0,1,0,0,0,0,0,0,12,5,0,219,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,120,0,0,0,0,0,0,11,0,0,0,0,0
CHA 5,28.675,-82.65833,1.712734082,CHA 5,CHA 5 NE dead 48 Sahale,5,2016,NA,CHA,5,NE,dead,48,0,0,65,0,0,171,0,0,0,0,64,0,0,0,0,0,0,0,0,5,0,0,0,0,0,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,37,39,0,0,0,126,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,47,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,698,0,0,0,0,0,0,0,53,0,0,0,0,0,0,26,0,0,0,0,0
CHA 5,28.675,-82.65833,1.712734082,CHA 5,CHA 5 NE dead 80 Sahale,5,2016,NA,CHA,5,NE,dead,80,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CHA 5,28.675,-82.65833,1.712734082,CHA 5,CHA 5 NE live 24 Sahale,5,2016,NA,CHA,5,NE,live,24,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CHA 5,28.675,-82.65833,1.712734082,CHA 5,CHA 5 NE live 48 Sahale,5,2016,NA,CHA,5,NE,live,48,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA 5,28.675,-82.65833,1.712734082,CHA 5,CHA 5 NW dead 12 Sahale,5,2016,NA,CHA,5,NW,dead,12,0,0,477,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1928,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1534,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
CHA 5,28.675,-82.65833,1.712734082,CHA 5,CHA 5 NW dead 24 Sahale,5,2016,NA,CHA,5,NW,dead,24,0,0,38,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,7,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0
CHA 5,28.675,-82.65833,1.712734082,CHA 5,CHA 5 NW dead 48 Sahale,5,2016,NA,CHA,5,NW,dead,48,0,0,1,0,0,326,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,115,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,644,0,0,0,0,0,0,0,16,0,0,0,0,0,0,14,0,0,0,0,0
CHA 5,28.675,-82.65833,1.712734082,CHA 5,CHA 5 NW dead 80 Sahale,5,2016,NA,CHA,5,NW,dead,80,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
